WD21CD,WD22CD,distance
E05000530,E05013788,0.0
E05000531,E05013789,0.0005900000000000349
E05000532,E05013790,0.004451617683495408
E05000533,E05013791,0.002770451226786015
E05000555,E05013754,1.0000000003174137e-05
E05000556,E05013763,0.0022774766738624893
E05000557,E05013755,0.000977445650666015
E05000558,E05013756,0.000332415402771708
E05000559,E05013757,0.0017203778654689386
E05000560,E05013758,6.082762530073872e-05
E05000561,E05013773,0.0004081666326430493
E05000562,E05013762,0.0005608921464950815
E05000563,E05013764,0.0007632168761232088
E05000564,E05013765,0.0019906280415989933
E05000565,E05013766,0.0006100819617085615
E05000566,E05013767,1.0000000000010001e-05
E05000567,E05013768,0.004895099590405722
E05000568,E05013769,0.0005522680508592168
E05000569,E05013770,9.999999996068709e-06
E05000570,E05013771,3.0000000002416982e-05
E05000571,E05013759,0.00394289233938734
E05000572,E05013772,0.0029561123118057625
E05000590,E05013882,0.003050458981858513
E05000591,E05013883,0.0020891424077825217
E05000592,E05013884,0.0015999999999953402
E05000593,E05013885,1.4000000000000123e-05
E05000594,E05013886,2.2360679776418236e-05
E05000595,E05013887,0.0014822351365423089
E05000596,E05013888,0.0005930430001277984
E05000597,E05013889,0.0040165688093156795
E05000598,E05013890,0.0014006887591456753
E05000599,E05013899,0.0038637417097936344
E05000600,E05013892,0.0018088670487352374
E05000601,E05013893,0.000601331855133521
E05000602,E05013894,1.0000000003174137e-05
E05000603,E05013895,0.001330338302838685
E05000604,E05013896,9.999999999999593e-06
E05000605,E05013897,1.4000000000000123e-05
E05000606,E05013891,0.006201967429779301
E05000607,E05013901,0.00011661903789573683
E05000608,E05013902,0.0017569291391526416
E05000609,E05013900,0.004731257866573085
E05000610,E05014009,0.0032357533898595163
E05000611,E05014020,0.0020940152817041356
E05000612,E05014027,0.008452768777152227
E05000613,E05014011,0.0012979984591676799
E05000614,E05014028,0.002557381473303408
E05000615,E05014013,0.002091721778822637
E05000616,E05014023,0.006891480247372057
E05000617,E05014012,0.002425633937761018
E05000618,E05014025,0.005196431467844745
E05000619,E05014016,0.0030500000000022657
E05000620,E05014019,0.005211765535788439
E05000621,E05014017,0.0015526107045875231
E05000622,E05014018,0.003912505591047957
E05000623,E05014014,0.004696594510922222
E05000624,E05014021,0.001661083983428794
E05000625,E05014022,0.00036674241641620315
E05000626,E05014024,0.003178332896344001
E05000627,E05014027,0.004724669300596907
E05000628,E05014029,0.0
E05000629,E05014030,0.004229621732494522
E05000630,E05013792,0.0014545446022724393
E05000631,E05013793,0.0025462128740524606
E05000632,E05013801,0.007670234676983796
E05000633,E05013797,0.00683658540501109
E05000634,E05013794,3.162277660268968e-05
E05000635,E05013795,0.0008603487664893943
E05000636,E05013796,0.004958679259641792
E05000637,E05009389,0.005828636204126447
E05000638,E05013798,0.006340544140685207
E05000639,E05013799,3.0000000000002247e-05
E05000640,E05013800,0.00039924929555275237
E05000641,E05013801,0.006267000877613108
E05000642,E05013804,0.0
E05000643,E05013805,0.002724646766097023
E05000644,E05013806,2.828427124692103e-05
E05000645,E05013803,0.004350459745820778
E05000646,E05013807,9.999999996068709e-06
E05000647,E05013802,0.001571559734785824
E05000648,E05013809,0.0006095900261645272
E05000649,E05013808,0.0024803225596668832
E05000650,E05000650,0.0
E05000651,E05000651,0.0
E05000652,E05000652,0.0
E05000653,E05000653,0.0
E05000654,E05000654,0.0
E05000655,E05000655,0.0
E05000656,E05000656,0.0
E05000657,E05000657,0.0
E05000658,E05000658,0.0
E05000659,E05000659,0.0
E05000660,E05000660,0.0
E05000661,E05000661,0.0
E05000662,E05000662,0.0
E05000663,E05000663,0.0
E05000664,E05000664,0.0
E05000665,E05000665,0.0
E05000666,E05000666,0.0
E05000667,E05000667,0.0
E05000668,E05000668,0.0
E05000669,E05000669,0.0
E05000670,E05014152,4.999999999988347e-05
E05000671,E05014154,0.0016800297616414925
E05000672,E05014153,3.999999999981796e-05
E05000673,E05014155,0.001920416621465509
E05000674,E05014156,4.999999999988347e-05
E05000675,E05014157,0.00044045431091556484
E05000676,E05014158,0.002822144574609506
E05000677,E05014159,0.007733104163275985
E05000678,E05014160,0.005849726489332903
E05000679,E05014161,0.0007694153624662381
E05000680,E05014162,0.00010816653826401246
E05000681,E05014163,0.0
E05000682,E05014164,0.004257628447855659
E05000683,E05014166,0.0012839003076559757
E05000684,E05014165,0.0003383784863157007
E05000685,E05014167,0.006343642486773657
E05000686,E05014168,0.006820007331374189
E05000719,E05000719,0.0
E05000720,E05000720,0.0
E05000721,E05000721,0.0
E05000722,E05000722,0.0
E05000723,E05000723,0.0
E05000724,E05000724,0.0
E05000725,E05000725,0.0
E05000726,E05000726,0.0
E05000727,E05000727,0.0
E05000728,E05000728,0.0
E05000729,E05000729,0.0
E05000730,E05000730,0.0
E05000731,E05000731,0.0
E05000732,E05000732,0.0
E05000733,E05000733,0.0
E05000734,E05000734,0.0
E05000735,E05000735,0.0
E05000736,E05000736,0.0
E05000737,E05000737,0.0
E05000738,E05000738,0.0
E05000739,E05014033,0.005900008474570194
E05000740,E05014034,0.007121270953979703
E05000741,E05014035,0.002866304240653976
E05000742,E05014036,0.0033497761119215
E05000743,E05014037,0.0017901117283563785
E05000744,E05014038,0.0007349829930020041
E05000745,E05014052,0.01865967309467166
E05000746,E05014040,0.006139983713336752
E05000747,E05014041,2.2360679776534605e-05
E05000748,E05014042,0.003884649276315789
E05000749,E05014043,0.0022400223213173906
E05000750,E05014044,0.0027335873865675427
E05000751,E05014045,0.001392048849715897
E05000752,E05014046,0.003991115132390085
E05000753,E05014047,0.009261209424264972
E05000754,E05014048,0.011966707985073648
E05000755,E05005323,0.01649349265619853
E05000756,E05014050,0.0018004999305745511
E05000757,E05014051,0.006066011869424723
E05000758,E05014052,0.002272641634750156
E05000779,E05000779,0.0
E05000780,E05000780,0.0
E05000781,E05000781,7.000000000090267e-05
E05000782,E05000782,0.00012369316876944788
E05000783,E05000783,0.0
E05000784,E05000784,0.0
E05000785,E05000785,0.0
E05000786,E05000786,2.0000000000131024e-05
E05000787,E05000787,0.0
E05000788,E05000788,0.0
E05000789,E05000789,0.0
E05000790,E05000790,1.0000000003174137e-05
E05000791,E05000791,0.0
E05000792,E05000792,0.0
E05000793,E05000793,0.0
E05000794,E05000794,2.9999999999752447e-05
E05000795,E05000795,0.0
E05000796,E05000796,0.0
E05000797,E05000797,0.0
E05000798,E05000798,3.6055512754383427e-05
E05000799,E05000799,0.0
E05000800,E05000800,1.0000000003174137e-05
E05000801,E05000801,3.16227766024527e-05
E05000802,E05000802,0.0
E05000803,E05000803,0.0
E05000804,E05000804,5.0000000001304555e-05
E05000805,E05000805,3.0000000000196536e-05
E05000806,E05000806,0.0
E05000807,E05000807,0.0
E05000808,E05000808,0.0
E05000809,E05000809,1.9999999999686935e-05
E05000810,E05000810,0.00012727922061378435
E05000811,E05000811,1.0000000000065512e-05
E05000812,E05000812,2.9999999999752447e-05
E05000813,E05000813,0.0
E05000814,E05000814,0.0
E05000815,E05000815,4.000000000026205e-05
E05000816,E05000816,5.000000000165983e-05
E05000817,E05000817,0.0
E05000818,E05000818,0.0
E05000819,E05000819,0.0
E05000820,E05000820,0.0
E05000821,E05000821,0.0
E05000822,E05000822,0.0
E05000823,E05000823,0.0
E05000824,E05000824,0.0
E05000825,E05000825,0.0
E05000826,E05000826,0.0
E05000827,E05000827,0.0
E05000828,E05000828,0.0
E05000829,E05000829,0.0
E05000830,E05000830,0.0
E05000831,E05000831,0.0
E05000832,E05000832,0.0
E05000833,E05000833,0.0
E05000834,E05000834,0.0
E05000835,E05000835,1.0000000003174137e-05
E05000836,E05000836,0.0
E05000837,E05000837,0.0
E05000838,E05000838,0.0
E05000839,E05000839,0.0
E05000840,E05000840,0.0
E05000841,E05000841,0.0
E05000842,E05000842,0.0
E05000843,E05000843,0.0
E05000844,E05000844,0.0
E05000845,E05000845,0.0
E05000846,E05000846,0.0
E05000847,E05000847,0.0
E05000848,E05000848,0.0
E05000849,E05000849,0.0
E05000850,E05000850,0.0
E05000851,E05000851,0.0
E05000852,E05000852,0.0
E05000853,E05000853,0.0
E05000854,E05000854,0.0
E05000855,E05000855,0.0
E05000856,E05000856,0.0
E05000857,E05000857,0.0
E05000858,E05000858,0.0
E05000859,E05000859,0.0
E05000860,E05000860,0.0
E05000861,E05000861,0.0
E05000862,E05000862,0.0
E05000863,E05000863,0.0
E05000864,E05000864,0.0
E05000886,E05000886,0.0
E05000887,E05000887,0.0
E05000888,E05000888,0.0
E05000889,E05000889,0.0
E05000890,E05000890,0.0
E05000891,E05000891,0.0
E05000892,E05000892,0.0
E05000893,E05000893,0.0
E05000894,E05000894,0.0
E05000895,E05000895,0.0
E05000896,E05000896,0.0
E05000897,E05000897,0.0
E05000898,E05000898,0.0
E05000899,E05000899,9.999999996068709e-06
E05000900,E05000900,0.0
E05000901,E05000901,0.0
E05000902,E05000902,0.0
E05000903,E05000903,0.0
E05000904,E05000904,0.0
E05000905,E05000905,0.0
E05000906,E05000906,0.0
E05000907,E05000907,0.0
E05000908,E05000908,0.0
E05000909,E05000909,0.0
E05000910,E05000910,0.0
E05000911,E05000911,0.0
E05000912,E05000912,0.0
E05000913,E05000913,0.0
E05000914,E05000914,0.0
E05000915,E05000915,0.0
E05000916,E05014120,0.0
E05000917,E05014121,0.002829999999999888
E05000918,E05014122,0.0
E05000919,E05014127,0.0024100207467989245
E05000920,E05014123,0.0035970126494087253
E05000921,E05014124,0.0021128653530218394
E05000922,E05014125,1.4142135626021728e-05
E05000923,E05014126,0.007286590423510978
E05000924,E05014128,0.0
E05000925,E05014130,0.006504805915629711
E05000926,E05014131,0.0
E05000927,E05014134,0.0057668102101656165
E05000928,E05014135,0.0028848050194101777
E05000929,E05014132,0.0065532053225873035
E05000930,E05014136,0.0002801785145189478
E05000931,E05014137,0.005979297617614151
E05000932,E05000932,0.0
E05000933,E05000933,0.0
E05000934,E05000934,0.0
E05000935,E05000935,0.0
E05000936,E05000936,0.0
E05000937,E05000937,0.0
E05000938,E05000938,0.0
E05000939,E05000939,0.0
E05000940,E05000940,0.0
E05000941,E05000941,0.0
E05000942,E05000942,0.0
E05000943,E05000943,0.0
E05000944,E05000944,0.0
E05000945,E05000945,0.0
E05000946,E05000946,0.0
E05000947,E05000947,0.0
E05000948,E05000948,0.0
E05000949,E05000949,0.0
E05000950,E05000950,0.0
E05000951,E05000951,1.0000000003174137e-05
E05000952,E05000952,1.9999999999242846e-05
E05000953,E05000953,0.0
E05000954,E05000954,0.0
E05000955,E05000955,0.0
E05000956,E05000956,0.0
E05000957,E05000957,0.0
E05000958,E05000958,0.0
E05000959,E05000959,0.0
E05000960,E05000960,0.0
E05000961,E05000961,0.0
E05000962,E05000962,0.0
E05000963,E05000963,0.0
E05000964,E05000964,0.0
